date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:01	13504/13504	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2019:50:59%20GMT	https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9	C:/My%20Web%20Sites/code/widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9.html	(from )
15:51:01	128/128	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Sep%202024%2019:50:59%20GMT	https://widgets.commoninja.com/robots.txt		(from )
15:51:03	19283/19283	---M--	200	added ('OK')	application/octet-stream	etag:%221577a7d2b9684ced00a0603bb40c2e5d%22	https://screenshots.commoninja.com/screenshots/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9_code_snippets.jpg	C:/My%20Web%20Sites/code/screenshots.commoninja.com/screenshots/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9_code_snippets.jpg	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:04	102692/102692	---M-Z	200	added ('OK')	application/javascript	etag:W/%227712dcae0e50b7d91fac1fd1dffe0568%22	http://static.parastorage.com/services/js-sdk/1.537.0/js/wix.min.js	C:/My%20Web%20Sites/code/static.parastorage.com/services/js-sdk/1.537.0/js/wix.min.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20Sep%202024%2019:51:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/code/www.googletagmanager.com/gtm.35445.delayed	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:04	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://www.commoninja.com/apps/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/code/www.commoninja.com/apps/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:04	46507/46507	---MCZ	200	added ('OK')	application/javascript	etag:W/%2287e89724ebc9c05074800e1ad52090cb%22	https://www.commoninja.com/apps/_next/static/chunks/d37017dc.ad8245c374934fe9.js	C:/My%20Web%20Sites/code/www.commoninja.com/apps/_next/static/chunks/d37017dc.ad8245c374934fe9.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:04	305286/305286	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3236abe715fe10e2d18e20f828bd403%22	https://www.commoninja.com/apps/_next/static/chunks/608ef6ec.edf8bd865f083dc0.js	C:/My%20Web%20Sites/code/www.commoninja.com/apps/_next/static/chunks/608ef6ec.edf8bd865f083dc0.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:05	1244001/1244001	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238bcd3f814d0edb744e360b07d33ece1%22	https://www.commoninja.com/apps/_next/static/chunks/2205b8f2.dec87226e1ef55cc.js	C:/My%20Web%20Sites/code/www.commoninja.com/apps/_next/static/chunks/2205b8f2.dec87226e1ef55cc.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
15:51:05	436195/436195	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c58daa3efed608258e6478a907155d0%22	https://www.commoninja.com/apps/_next/static/chunks/d5881a0d.dabe5fced8d78e60.js	C:/My%20Web%20Sites/code/www.commoninja.com/apps/_next/static/chunks/d5881a0d.dabe5fced8d78e60.js	(from https://widgets.commoninja.com/iframe/4ef24394-2e6e-4cf3-9fc5-b1226c5558d9)
